gene_symbol,GSM3068464,GSM3068465,GSM3068466,GSM3068467,GSM3068468,GSM3068469,GSM3068470,GSM3068471,GSM3068472,GSM3068473,GSM3068474,GSM3068475,GSM3068476,GSM3068477,GSM3068478,GSM3068479,GSM3068480,GSM3068481,GSM3068482,GSM3068483,GSM3068484,GSM3068485,GSM3068486,GSM3068487,GSM3068488,GSM3068489,GSM3068490,GSM3068491,GSM3068492,GSM3068493,GSM3068494,GSM3068495,GSM3068496,GSM3068497,GSM3068498,GSM3068499,GSM3068500,GSM3068501,GSM3068502,GSM3068503,GSM3068504,GSM3068505,GSM3068506,GSM3068507,GSM3068508,GSM3068509,GSM3068510,GSM3068511,GSM3068512,GSM3068513,GSM3068514,GSM3068515,GSM3068516,GSM3068517,GSM3068518,GSM3068519,GSM3068520,GSM3068521,GSM3068522,GSM3068523,GSM3068524,GSM3068525,GSM3068526,GSM3068527,GSM3068528,GSM3068529,GSM3068530,GSM3068531,GSM3068532,GSM3068533,GSM3068534,GSM3068535,GSM3068536,GSM3068537,GSM3068538,GSM3068539,GSM3068540,GSM3068541,GSM3068542,GSM3068543,GSM3068544,GSM3068545,GSM3068546,GSM3068547,GSM3068548,GSM3068549
CYP2J2,9.3482,8.4813,9.1323,7.8204,4.7834,7.9347,9.2394,7.6942,7.3127,7.2003,7.0453,9.7806,8.8991,7.6737,6.4905,7.6069,7.8686,8.9508,7.5006,7.7909,7.281,8.797,7.5333,7.8653,7.7356,9.1495,8.0036,8.5816,8.3364,9.5841,9.6309,9.8183,9.4161,3.7901,9.0461,8.5827,7.9272,9.4313,9.3945,9.0591,9.3605,7.6964,7.8324,7.6957,9.1601,6.808,9.2114,8.301,8.8846,8.002,4.029,9.0009,9.1914,6.1076,7.8487,7.3347,6.5687,9.3452,9.2638,6.9102,7.7489,9.0342,7.8588,9.3015,8.4548,8.0331,8.0293,7.1743,8.8209,9.2875,9.5448,8.1467,7.1561,8.227,9.3809,7.0682,8.0871,8.9258,7.8493,9.1553,8.5912,5.7404,8.6295,8.788,6.0573,8.9263
CYP3A4,11.5537,10.0093,9.4754,9.5464,5.4258,8.1024,10.1122,8.4913,5.8983,7.04,6.0599,10.3205,10.078,7.3297,5.8391,8.7937,9.8195,10.0919,5.9081,8.3383,6.5888,9.8475,6.263,6.8881,5.2312,10.2506,8.8897,9.5672,8.5344,10.9807,10.2216,11.4461,10.6454,4.2388,10.2722,9.2777,8.5284,10.4516,10.5883,9.7037,10.9241,5.0807,9.0616,4.2613,11.0466,4.732,10.2863,9.7962,10.0633,8.8215,4.533,9.962,9.8849,5.5908,8.8274,6.8905,8.1359,10.2604,10.3465,4.5624,8.7135,10.3362,9.194,10.6097,9.3677,8.976,7.9585,8.0014,8.908,9.9945,10.7255,9.4596,7.1301,9.8025,10.3363,8.5294,9.0388,9.4496,6.5201,10.528,9.6887,5.1695,9.2666,9.9982,5.1312,9.9955
CYP3A5,10.165,9.3297,9.4651,8.0972,6.5489,8.9603,9.4268,8.328,6.7787,8.3338,7.3837,9.7293,9.0625,8.3364,8.7672,8.96,9.097,9.3259,7.9654,8.3332,8.1744,9.1454,6.9124,8.4793,6.7951,9.4344,8.8057,9.2732,8.5312,9.6796,9.3841,9.56,9.7961,4.2111,9.2795,7.0508,8.6632,9.2858,9.5998,8.8381,9.5077,7.6295,8.4266,7.6794,9.7318,6.8477,9.2683,8.2206,9.2404,8.6847,4.9099,9.1278,9.4392,5.8301,8.6953,8.0627,8.155,9.145,9.3612,7.569,7.1897,9.3427,8.9108,9.3543,9.4271,9.5729,8.541,8.3052,9.2249,9.7763,9.5046,8.8386,8.566,9.3937,9.534,8.6553,8.6443,8.8256,8.0936,9.3773,8.7923,7.6088,8.9235,9.4229,5.226,9.6993
CYP4F12,8.641,8.5567,8.647,7.3457,6.4254,7.483,9.0163,6.6609,8.2912,7.434,7.4774,8.585,8.675,7.7098,7.6466,7.7677,7.4924,8.7201,8.4128,7.8461,7.5547,8.6762,7.3795,7.4949,7.3308,8.2489,8.1299,8.615,8.2681,8.7813,8.8595,7.8725,8.5547,5.565,8.3787,8.142,8.0192,8.587,8.3941,8.5298,8.8533,7.7558,7.5917,7.3962,8.7855,6.2621,8.5296,7.3439,8.3384,7.8009,5.4916,8.2626,8.5028,6.0577,7.5033,7.8361,6.679,8.3551,8.2708,6.4218,7.9092,7.9154,7.8233,8.835,8.1217,8.0979,7.829,7.6179,8.1853,9.035,8.7645,7.5528,7.4742,8.3815,8.3837,7.8483,8.0487,8.464,8.2177,8.4031,8.4328,7.3447,8.5413,8.6728,7.1392,8.4645
CYP4F2,9.772,9.0802,8.6274,8.4775,5.8113,6.86,9.6894,5.0891,4.1818,6.3411,5.6062,9.1621,9.1536,7.6509,6.0123,8.0651,8.61,9.2432,4.7692,7.5621,6.7999,9.4162,4.7959,7.1623,4.9158,9.411,7.9202,8.8414,8.0912,9.8457,9.4213,10.0554,9.2381,6.0368,9.0877,6.6478,7.9997,9.8291,9.4646,9.7089,9.7409,6.2985,8.3849,5.1049,9.3877,4.918,9.0974,7.7839,8.9451,6.5025,4.4384,9.0136,8.7898,4.0733,6.3637,5.8958,7.7683,9.4324,9.1958,4.7005,8.2189,8.2773,8.7929,8.7676,8.4488,8.7073,5.4475,6.2397,7.2586,10.0813,9.8381,8.6177,7.4186,8.8744,9.3098,6.9861,9.0351,9.2557,5.5574,9.7128,7.6486,5.9974,8.9891,8.9417,5.2181,9.0743
DAB1,9.0426,7.5346,8.6281,6.76,5.0116,6.9731,8.5848,6.5129,4.8272,5.3335,5.024,8.6013,8.4697,4.9463,4.4039,6.8194,6.4299,9.1038,3.8865,6.764,6.0783,7.9618,4.4842,6.4122,4.6192,8.1827,7.3307,7.8096,6.8564,8.5898,8.7542,9.2098,8.9176,6.1371,7.8955,6.7352,7.123,8.7615,8.6424,8.2416,8.7212,4.2634,6.4197,4.4116,8.5012,4.8367,8.5057,7.0066,7.9582,7.1265,4.7534,8.6256,8.4457,4.3667,6.2321,4.3507,6.205,8.416,7.5219,4.0579,6.7368,8.3506,6.8467,8.2169,8.2696,7.4931,4.8224,7.0741,8.2369,9.0466,8.9257,6.4117,4.985,8.0016,8.4812,6.7249,7.163,8.2412,4.8916,8.4452,5.7794,5.6084,7.8022,8.3869,4.6155,8.5165
DAPK2,9.0672,8.4478,7.934,8.1098,7.2357,8.1687,8.3774,7.7784,8.5906,8.4094,7.1479,8.785,9.2692,8.3956,7.5561,8.402,8.0085,9.1455,7.4532,8.0956,8.4534,8.3758,8.8389,8.5022,8.2716,9.3526,8.3092,9.0006,7.641,8.9115,9.2522,8.8554,9.0082,7.2883,8.6264,8.2248,8.6482,9.3168,8.9005,8.4192,8.9581,8.3071,8.624,8.2753,8.4215,7.2702,8.6768,8.0096,8.751,8.9388,6.3299,8.9054,8.8259,6.9788,7.8686,8.4296,7.4574,8.2988,7.9992,7.4234,8.1235,8.7155,8.4581,8.2414,7.9556,8.1295,8.383,8.1578,8.5772,8.7923,8.9644,8.0693,7.434,8.5134,8.9543,7.8904,8.2821,8.7391,8.685,8.8262,8.7802,6.4927,8.4513,8.8822,7.7553,9.1266
DHRS11,9.5719,9.3489,9.5391,8.481,6.2457,9.0051,9.7032,8.3846,8.7479,8.4108,8.531,9.9779,9.4287,8.8864,4.803,8.5014,9.3495,9.2945,9.0998,8.6314,8.8606,9.4892,9.1938,8.4193,7.9952,9.5393,9.0688,9.473,9.2001,8.7386,9.1996,9.6303,9.863,3.3395,9.0832,9.5545,8.8894,9.1977,9.5498,9.0893,9.4454,8.7488,8.624,8.4306,9.3003,6.9182,9.3219,7.9515,9.0283,8.7477,4.8088,9.602,9.1099,5.9979,7.9862,8.7363,7.1424,9.3568,9.5392,8.0069,8.597,9.0761,8.8868,9.2642,9.2075,9.114,9.0174,8.6009,9.5875,9.8548,9.2661,9.0362,8.4715,9.2108,9.4889,8.7295,8.7073,9.0465,9.0901,9.6331,9.0311,6.5868,9.2351,9.0367,6.8515,9.2701
DNASE1,9.5809,8.2227,8.6854,6.8488,5.9756,8.0204,9.5737,7.7688,5.6687,5.9029,7.2453,9.2226,9.1637,7.4731,5.4709,8.2223,8.6746,8.758,5.5825,7.9833,7.7431,8.6489,5.2187,8.3024,5.0098,9.1879,7.8609,9.1345,8.0719,9.105,8.9748,9.4066,9.3512,5.4725,9.0472,9.0188,7.4481,9.553,9.0489,8.7765,8.7201,5.313,7.9808,5.3798,8.6652,5.4038,8.8633,8.1645,8.2959,8.3112,5.512,8.6478,8.8603,6.0047,8.1841,5.9486,7.0403,8.1587,9.3117,5.5643,7.6792,8.9174,7.9038,8.5267,9.4576,8.3832,5.4181,8.424,8.7706,9.0831,9.4774,7.6995,6.9625,8.8971,8.9776,6.6112,7.8441,9.2058,5.401,8.6904,7.1543,5.7206,8.6178,8.8655,5.5145,9.2016
DOK4,9.0338,8.542,8.5152,8.0535,7.5376,8.0536,8.7045,8.6205,8.7854,8.7026,8.1161,8.8609,8.6071,8.526,8.5666,9.0606,7.9329,9.2468,8.7499,8.1356,8.7865,8.716,9.7734,8.8462,8.7974,8.4699,8.6512,8.3653,8.8026,8.9446,8.9127,9.0633,9.1684,6.28,9.0072,8.5686,8.3888,8.7836,9.2003,8.6281,9.3506,8.7226,8.8039,8.8205,8.7612,7.6788,8.8094,7.5203,8.8678,8.5271,6.4977,8.9753,9.06,8.348,8.0319,9.2691,7.7131,8.8918,8.7291,8.4583,8.0176,8.5215,8.6157,8.3142,9.0108,8.7482,8.9945,8.0802,8.5245,9.2412,8.7345,8.6634,8.2503,8.7267,8.7992,8.6322,8.5335,8.3898,9.1774,8.9505,8.9769,8.6424,8.678,8.4622,8.3048,8.3951
DPEP1,9.3684,9.0587,8.8566,7.5772,6.8592,8.0931,9.9882,7.8526,6.3702,7.3852,8.2376,8.9422,9.1969,8.8397,5.7449,7.7157,9.0577,9.2811,5.9801,7.6091,7.1126,9.2426,7.2335,7.9705,6.1387,10.2661,8.7266,8.9284,8.5717,9.8043,10.1321,9.7227,10.1648,6.1995,9.7758,9.2209,9.0619,9.9556,9.3442,8.9226,9.6105,6.1512,8.3504,5.8293,9.6916,7.09,9.3767,8.4901,9.0975,9.1856,5.5634,9.5033,9.4888,6.122,7.6264,6.2478,7.6598,8.8672,9.7082,6.0684,7.7203,9.4328,7.9291,8.9818,9.2123,8.7316,6.17,7.4868,9.1942,9.8197,9.3051,8.402,7.1423,8.3819,9.3558,7.3576,8.3478,9.2443,6.6475,9.9057,7.5171,6.1376,8.5727,9.3028,6.3928,9.6882
DPP4,9.0922,8.5603,8.7394,8.1473,6.211,7.2227,8.9788,7.745,3.8968,6.0111,7.6649,8.4861,8.4644,6.503,4.348,7.6552,7.9921,9.5616,4.9779,7.7191,7.1589,8.9428,3.7294,7.6612,4.852,9.2629,8.1924,8.5285,7.7329,9.0438,9.8693,9.3065,9.5442,4.9289,8.7136,6.8601,7.7306,8.8627,9.0306,9.1588,9.2257,6.0756,7.9291,4.4029,8.8803,4.7371,8.8667,7.6788,7.9316,8.5172,4.9655,9.0087,8.8014,4.7322,7.6242,5.0106,7.3452,9.1287,8.6266,4.8984,7.6096,8.0746,8.6523,8.812,9.016,8.7311,5.9941,7.5106,8.5621,9.5763,9.2839,7.1234,7.7793,8.5095,9.3868,7.0993,7.2187,8.3578,5.3015,8.9946,8.3309,5.2812,7.9356,8.5367,4.3082,9.1849
DSC2,8.6884,8.7484,8.9602,8.206,8.3074,8.6806,8.9719,8.8456,9.6035,8.9875,8.4909,9.2271,8.8664,8.5838,7.8121,9.2865,8.2684,9.0631,9.2598,8.2978,9.2697,8.7182,9.0943,9.248,8.7858,9.1596,8.8558,8.9134,8.9134,9.0444,9.2378,9.1816,9.137,5.98,8.7783,7.6765,8.369,8.6987,8.9887,8.9831,8.9915,8.9026,8.7902,9.356,8.4105,8.6176,9.0479,7.6975,8.8642,8.5008,4.3921,8.6639,9.2557,8.3566,8.7715,9.0522,7.9915,9.4512,8.5273,8.8438,8.1364,8.7474,9.0859,8.2715,8.5791,8.8066,9.448,8.4662,8.8645,9.0414,9.2333,8.9633,8.685,9.1435,8.9334,8.5967,8.314,8.5864,9.4446,9.3385,9.3066,8.7057,8.5459,9.21,8.1254,8.8331
DSP,9.5212,9.4013,9.2085,8.8805,7.7498,9.3825,9.7519,8.8013,9.7356,9.4617,9.1071,9.7689,9.6915,9.4138,8.6202,9.175,9.342,9.8279,9.6046,8.6854,9.2559,9.5537,9.299,9.0811,9.2826,9.5403,9.4433,9.1927,9.4208,8.9457,9.3123,9.5834,9.9209,4.8606,9.5749,8.9331,9.2214,9.5444,9.7175,9.306,9.4041,9.6505,8.7355,9.559,9.7201,9.0759,9.587,8.8637,8.8806,9.3207,6.1986,9.3539,9.3778,9.2939,9.3025,9.4964,7.6363,9.5707,9.3251,9.1209,8.8019,9.2939,9.275,9.2193,9.3421,9.1517,9.32,8.9268,9.5819,9.8933,9.451,9.4299,9.0495,9.508,9.9882,8.9713,8.6158,9.1349,9.7321,9.7805,9.4301,9.0064,8.9877,10.0609,8.8069,9.2643
ENPEP,10.1555,9.9351,9.9558,8.8541,7.07,8.4862,10.1033,8.9064,2.7554,6.6693,8.2442,9.9519,9.5804,8.1387,2.9498,8.469,9.2808,10.061,3.1073,8.9308,8.7957,9.7994,3.9222,8.9914,4.6975,10.0062,9.3794,9.6241,9.2538,9.943,10.1291,10.0188,9.9228,3.6639,9.7043,9.2057,9.0749,9.9685,10.3309,9.8167,10.4017,3.8754,9.1405,3.2758,9.8518,3.2851,9.9988,9.2052,9.7471,9.7426,3.3255,9.6978,10.2145,3.1309,9.243,5.019,8.6737,9.5246,9.8978,6.025,8.9822,9.8304,9.5373,10.0775,10.0999,9.4754,3.126,9.0704,9.9959,10.0943,10.333,8.6915,8.4403,9.7349,10.2021,8.8785,8.9831,9.4969,4.9,9.659,8.7917,3.3814,9.6837,9.7237,3.0243,9.8526
ENTPD5,9.0525,8.4145,9.5424,8.3829,7.2685,8.3063,9.1535,7.966,9.8735,8.2372,7.2251,9.854,9.5281,8.776,8.8564,9.0161,8.6802,8.9928,9.9894,8.7382,8.0704,9.5564,9.7632,8.9059,8.6562,9.371,8.7412,9.1355,8.7414,9.316,9.3796,9.7725,9.6591,5.6541,9.2242,8.5747,9.0281,9.2124,9.5136,9.3705,9.2744,9.5588,8.6075,9.1629,9.4984,8.0558,9.3896,8.9733,8.8908,8.1523,6.457,9.6522,9.4347,7.7224,8.9889,9.4638,7.091,9.4171,8.9417,8.4034,8.2904,9.238,8.8483,8.9081,9.0616,8.8877,9.7393,8.1666,9.3355,9.432,9.3259,8.5468,8.4025,8.8655,9.2931,7.9471,8.5253,8.9079,9.2892,9.1,9.7168,8.5139,9.1991,9.4461,7.9165,9.307
EPB41L4B,7.9476,6.8623,7.5823,6.2421,4.7401,6.0592,7.7433,6.4964,7.6089,7.1262,6.1163,7.7093,6.9778,6.6079,6.7166,7.0697,7.2418,7.565,7.71,6.6144,6.3572,7.2972,7.4363,6.9875,5.9037,7.6046,6.9537,7.6186,6.4322,7.4329,7.686,7.6353,7.5101,3.6844,6.9944,5.7776,4.9884,7.9072,7.4787,7.3648,7.5033,7.6145,6.2122,7.1044,6.8854,5.3875,6.9056,5.9133,6.6194,5.9432,4.0561,7.524,7.5878,5.0982,6.6669,7.1221,5.1288,8.0425,7.0835,6.267,6.0293,7.1552,6.6625,7.4169,7.5474,6.9556,7.9166,5.8814,6.9813,7.2679,7.696,6.1887,5.723,6.9891,7.7343,6.3473,5.7855,6.8994,7.2943,7.7632,7.0792,5.9052,7.061,7.4401,4.5357,7.0541
EPCAM,11.9851,11.6415,12.1896,11.5974,11.2902,11.8287,11.8855,11.4283,11.9021,12.0059,11.9153,12.4429,11.9169,11.9546,10.8878,11.5904,11.903,12.01,11.9125,11.8353,12.1582,11.9703,12.4272,11.9532,12.0029,12.0492,12.0149,11.8354,11.7977,12.1559,11.2711,12.0904,12.0035,4.1754,11.8774,11.5267,11.4923,11.9947,12.0157,11.6989,11.8199,11.9477,11.9519,11.8222,11.9517,11.7245,11.8015,11.3276,11.6476,11.9466,8.7892,11.7054,12.2557,11.4782,11.9915,12.005,10.8581,12.2007,11.8264,11.9686,11.2603,12.0008,11.9292,11.9791,11.816,11.9852,12.41,11.6614,12.1103,11.9678,12.2503,11.4594,12.1037,11.9967,12.2829,11.8641,11.674,11.7768,12.0355,12.2588,12.1868,10.9936,11.8105,11.9744,11.88,11.8885
EZR,11.1706,10.4995,11.0881,10.7282,9.6332,10.2421,11.2782,10.1866,10.0721,10.3304,10.7468,10.8649,10.8751,10.5784,10.5906,10.8587,10.5195,11.1932,10.4446,10.4077,10.719,10.9422,10.3165,10.9811,10.4327,11.3896,10.6922,10.9745,10.4421,11.4636,10.6634,11.0144,11.141,9.4393,10.8882,9.9729,10.3243,11.3052,10.9465,11.1223,10.7661,10.4034,10.6662,10.2435,11.0551,10.258,10.8614,10.3753,11.0165,10.6629,9.9751,10.8517,10.9832,10.304,10.8053,10.5242,9.5039,10.8305,10.6583,10.3797,10.3409,10.7743,10.8548,10.9343,11.0375,10.7619,10.9098,10.6313,10.638,11.1312,11.0267,10.2557,10.5771,10.7982,11.1478,10.2327,10.4916,10.8774,10.74,11.0038,10.8667,10.3248,10.805,10.9669,9.9766,10.9965
FABP2,9.2878,8.8458,9.2183,8.0105,7.2778,8.2429,9.3195,8.2016,6.8262,7.6331,7.9896,9.3405,8.5808,8.1654,5.8401,7.8074,8.6821,8.6633,7.3114,8.3321,8.2744,8.6973,7.729,8.3954,7.3631,8.849,8.6346,8.5139,8.6886,8.8683,8.8544,9.3766,8.3955,6.3025,8.7986,8.8937,7.6973,9.2358,8.6533,8.2766,8.7525,7.2288,9.0362,6.0575,8.5659,6.7549,8.8609,8.1299,9.0806,8.0577,5.4165,8.0863,8.6901,5.7145,8.461,7.8781,7.402,8.724,8.9574,6.6044,7.8778,8.7425,8.1809,9.3497,8.8322,8.2174,7.2724,8.4409,8.7926,8.6049,8.7552,7.6767,8.1921,8.5526,9.0719,8.0658,8.5792,8.7827,7.3994,8.9213,8.3175,5.7008,8.7985,8.21,7.2434,8.5567
FAM46A,8.9621,7.3244,8.5995,8.0044,7.5263,7.6972,8.5918,7.7407,8.2399,8.2625,8.2017,8.6462,8.6046,8.1361,8.5621,8.9245,7.8868,8.7942,7.1869,7.9066,8.519,8.2135,8.327,8.3557,8.3037,8.8274,8.1212,8.0486,7.788,8.6614,8.7006,8.7031,8.6658,6.1764,7.9888,7.6663,7.9599,8.9686,8.769,7.9832,8.4587,8.2774,8.4268,8.0992,8.4547,7.5205,8.1557,7.397,8.5282,8.2724,6.9262,7.8792,8.5544,7.6005,8.5972,8.3332,7.5945,8.0848,7.7307,8.1265,7.7358,8.0679,8.8612,8.5045,8.513,8.575,9.01,7.9504,8.1048,8.7727,8.6263,8.2447,8.4487,7.9432,9.2099,8.0596,8.145,8.1227,8.536,8.6268,8.3611,8.164,7.7727,8.2894,8.1971,8.6289
FBP1,9.7444,9.1738,9.2937,8.6278,6.0526,8.8602,9.688,8.4618,7.508,8.3178,7.5318,9.3178,8.9268,7.457,8.0181,8.4066,9.1768,9.5157,7.7207,8.4893,7.9811,9.2897,7.7386,8.7348,7.7034,9.3273,8.7787,9.3633,8.21,9.4003,9.3835,9.9707,9.7399,6.1857,9.1529,9.9651,8.874,9.899,10.0779,9.2222,9.6467,7.8848,8.9107,7.485,9.1193,6.5968,9.2197,8.9559,8.9394,8.4212,5.7541,9.2543,8.5906,6.7265,7.7849,6.8269,6.8057,9.2455,9.6421,7.1868,8.4892,9.4469,8.9113,9.4736,9.4998,8.787,6.1722,8.379,8.9667,9.6024,9.522,8.5722,8.1043,9.4303,9.3948,8.3894,8.3018,9.4192,7.4287,9.6843,8.5442,7.7649,8.9534,9.7538,6.8963,9.5751
FLJ22763,9.6818,9.0803,9.0811,8.3105,6.8969,8.0728,9.5545,8.5852,7.0004,7.5765,8.368,9.4809,8.9377,8.2873,3.1815,7.6856,8.8571,9.1266,6.7526,8.785,8.5337,9.7897,8.5749,8.5724,7.5491,9.3388,9.0488,8.8127,8.7971,9.126,9.2968,9.9079,9.1396,2.6287,8.9524,9.6128,8.4422,9.0498,9.6732,9.0804,9.6708,7.04,8.7415,5.2164,8.8449,5.0989,9.109,8.4581,9.2818,8.9581,2.3794,8.9909,9.049,5.9369,9.7362,7.474,7.3162,9.3779,9.2813,6.4579,8.2503,8.9544,8.2858,9.1959,9.1841,8.536,7.4885,8.7625,8.8184,9.0321,9.2943,7.5747,7.9413,8.905,9.4643,8.4769,8.1653,8.833,7.6902,8.9623,8.1986,4.6648,8.771,9.2478,6.2882,9.079
FLVCR1,8.6854,7.5291,8.3465,6.1193,5.3538,6.2188,8.5038,6.3648,4.5868,4.6128,5.831,8.8947,7.8013,6.0195,4.9733,6.0079,7.1081,8.5048,5.5644,7.6749,5.7337,8.034,5.9584,6.8152,4.2844,8.6524,7.9785,7.5246,7.2649,8.5747,9.3252,8.758,8.6966,4.536,7.9361,7.1807,6.708,8.7908,8.3528,7.7579,9.0199,5.2406,7.007,4.8008,7.9477,5.5008,8.6428,6.189,8.3446,7.1287,4.304,7.8713,8.3041,5.7994,6.4293,4.8719,4.9121,7.8476,7.4209,4.9131,6.7487,7.5287,6.7921,8.601,7.7094,6.999,5.7285,7.6455,7.8187,8.1701,9.2579,6.5177,6.3971,7.1617,8.349,5.3808,6.6151,7.79,6.145,8.6583,7.8501,4.8888,8.1523,7.4668,5.2112,8.1515
FTL,11.7854,10.9983,11.6462,11.4641,11.2684,11.0323,12.3422,11.1179,10.79,11.4431,11.8628,10.9261,11.3974,10.743,10.4703,11.3238,11.2604,11.5998,10.6023,10.9968,11.1086,11.4518,10.8768,11.408,11.0363,11.9781,11.2205,12.3004,10.8499,11.6218,10.9377,12.0804,11.5415,11.5512,11.5263,12.0772,10.9483,11.7981,11.6485,11.7562,11.0617,11.2766,11.0958,11.2373,10.7613,10.8203,11.1208,11.1,11.2237,11.133,11.2852,11.5691,11.2948,10.8313,10.9472,10.4548,11.8716,11.3557,12.0626,10.9736,10.5699,11.566,11.6516,11.2091,12.1057,11.3122,9.9911,10.7406,10.7579,11.5747,11.546,11.1151,10.8206,11.7609,11.7159,11.1232,11.0384,11.1105,10.7352,11.6142,10.8172,10.6769,10.815,11.4746,10.539,11.8549
G6PC,8.9629,6.4151,5.888,5.071,3.4573,4.987,8.0796,4.2019,3.8164,3.6502,3.6047,7.5213,6.8777,3.5794,3.7869,6.4544,7.3603,8.0552,4.3624,5.3766,3.614,7.5926,3.8542,4.1067,3.5338,8.5739,6.6911,7.445,6.6943,6.5596,9.7877,6.8383,7.978,3.0806,6.9386,7.5417,6.2277,7.6652,7.8314,6.2843,9.8929,3.6968,6.3705,3.7484,8.5366,3.8987,7.3388,4.5929,6.6375,5.8914,3.344,7.8357,8.6108,3.4866,4.0187,3.2845,5.5366,7.9819,7.0241,3.807,5.4222,6.0069,5.4224,7.3781,6.9791,5.0979,3.9252,3.7181,8.9271,7.713,8.7266,7.4594,3.933,6.0012,7.9318,5.4514,3.9299,5.5502,4.3657,6.0505,5.3201,3.5579,7.0985,8.3567,3.4176,7.9485
GATM,8.5678,8.6268,8.7595,7.6197,4.4306,8.0311,8.1607,7.2447,4.3917,7.1882,4.9731,9.5347,8.9322,6.9415,4.8723,6.9646,8.3443,8.1096,5.4018,6.8728,6.9652,9.2353,5.1903,7.1066,6.4107,8.7709,7.8738,8.3009,7.7,8.0255,8.9469,8.8627,8.2178,4.1144,8.6243,7.228,6.9828,8.482,9.3321,8.6706,9.3335,6.3794,7.8672,5.5498,7.9964,5.905,8.5099,8.3236,7.3403,7.9431,4.8271,8.8311,8.2575,4.4908,7.2676,5.4682,5.5466,8.6552,8.4356,5.9798,7.6545,7.8617,8.3992,8.5296,7.9399,7.7742,4.086,6.9557,8.4989,8.9086,8.8512,7.2769,7.9344,7.9115,8.2822,7.6863,7.1081,7.8758,5.9043,8.586,6.9131,3.9407,8.7527,8.7676,6.0037,8.3647
GDPD2,7.9195,7.1124,7.5078,7.4928,6.1127,6.8103,8.594,6.1248,7.5041,6.6492,6.1055,7.8959,7.6983,6.1639,6.6896,6.9874,7.5224,8.2073,7.2209,6.5428,6.8716,7.8238,8.3154,7.2403,6.2008,8.6718,7.1714,7.5393,7.663,8.7013,8.8145,7.6581,8.1675,6.1039,7.6932,8.0647,7.2765,8.26,8.3057,7.5974,8.4712,7.2257,7.4633,6.4524,7.9934,6.2041,7.9694,6.978,7.6921,7.0249,5.6969,7.9775,7.4092,5.6425,6.9581,7.5812,6.6338,7.8101,7.8753,5.8501,6.3035,7.5714,7.5827,7.5211,7.2008,7.5336,7.7321,6.7501,7.5952,8.327,8.7975,7.0668,6.9466,6.8002,8.3532,6.7435,7.329,7.7766,7.3068,7.957,7.4617,6.3081,7.6041,8.4028,6.6317,7.9235
GLCE,7.2907,7.5474,7.7752,7.3293,6.1586,7.5981,7.8232,7.1348,5.5597,7.4937,7.5013,7.1727,7.1062,7.7051,7.496,7.6317,7.3547,7.7473,7.2412,7.6259,6.9065,7.237,6.9461,8.015,7.549,7.2154,8.2939,7.1769,7.6695,7.3198,8.1582,7.3667,7.2529,5.7855,6.6932,6.3158,6.7163,7.0686,6.6125,7.1025,7.492,7.6872,7.6706,6.5886,7.7025,8.089,7.3314,6.5044,6.6289,7.2791,5.0314,7.3655,7.4837,6.9991,7.9272,6.9749,5.6159,7.0984,6.7875,7.6298,7.2326,6.4981,7.4239,8.1939,7.7849,7.669,7.8055,6.8667,8.3771,7.3522,7.7635,7.2287,7.9528,8.3219,7.6608,7.7341,6.8146,7.7304,7.5137,6.5315,7.5287,6.9491,6.4691,7.2635,7.3763,7.5383
GNA11,9.0845,8.8483,8.7889,8.2625,6.7855,8.1951,8.9797,7.9174,8.7645,7.9552,8.894,9.0636,9.2226,8.4901,7.1278,8.5254,8.3,9.3193,7.6262,8.5678,8.5804,8.6503,8.519,8.821,7.2831,9.0295,8.5518,8.7235,8.5093,9.4409,8.8582,8.7602,9.2726,6.2677,8.6644,8.5853,8.3706,9.2,9.2448,9.0132,9.2452,8.2041,8.3471,8.2122,8.6762,8.3701,8.9829,8.1281,8.9763,8.7356,4.4527,9.138,9.4563,6.9208,8.1911,8.3884,6.7712,9.3931,9.013,7.6948,8.1305,8.7957,8.8622,8.5928,8.9681,8.8809,8.6897,8.3478,8.4678,9.3803,8.9515,8.4186,8.454,8.8107,9.5015,8.3572,8.521,8.6723,8.6862,9.177,8.4011,7.3175,8.5877,8.6131,6.6451,8.7656
GNRHR2,5.6046,5.6745,5.1461,5.5751,4.4648,5.4343,6.187,4.7687,5.679,5.2429,5.5892,5.6542,5.5742,5.5437,6.0678,5.4723,6.1408,5.8819,5.6984,5.5225,5.4243,5.4421,5.9712,5.0144,5.1426,5.1326,6.0643,5.1318,5.322,4.7936,6.138,5.7194,5.6858,5.4334,5.4932,5.2899,5.3481,5.9789,5.9343,5.3567,5.4977,5.6681,5.9222,5.297,5.913,5.0739,5.3398,5.2026,5.833,5.6431,5.3924,5.657,5.6511,5.6098,4.7725,5.7113,6.0452,5.1442,4.321,6.1063,6.0523,5.6693,5.3189,5.8427,6.13,5.9802,6.3195,5.2319,5.5905,5.792,5.1075,5.5412,5.6635,5.8981,5.5568,5.3688,6.3201,5.5475,5.5639,5.8101,6.3164,5.5938,6.2583,5.0079,5.4555,5.1759
