gene_symbol,GSM3068464,GSM3068465,GSM3068466,GSM3068467,GSM3068468,GSM3068469,GSM3068470,GSM3068471,GSM3068472,GSM3068473,GSM3068474,GSM3068475,GSM3068476,GSM3068477,GSM3068478,GSM3068479,GSM3068480,GSM3068481,GSM3068482,GSM3068483,GSM3068484,GSM3068485,GSM3068486,GSM3068487,GSM3068488,GSM3068489,GSM3068490,GSM3068491,GSM3068492,GSM3068493,GSM3068494,GSM3068495,GSM3068496,GSM3068497,GSM3068498,GSM3068499,GSM3068500,GSM3068501,GSM3068502,GSM3068503,GSM3068504,GSM3068505,GSM3068506,GSM3068507,GSM3068508,GSM3068509,GSM3068510,GSM3068511,GSM3068512,GSM3068513,GSM3068514,GSM3068515,GSM3068516,GSM3068517,GSM3068518,GSM3068519,GSM3068520,GSM3068521,GSM3068522,GSM3068523,GSM3068524,GSM3068525,GSM3068526,GSM3068527,GSM3068528,GSM3068529,GSM3068530,GSM3068531,GSM3068532,GSM3068533,GSM3068534,GSM3068535,GSM3068536,GSM3068537,GSM3068538,GSM3068539,GSM3068540,GSM3068541,GSM3068542,GSM3068543,GSM3068544,GSM3068545,GSM3068546,GSM3068547,GSM3068548,GSM3068549
CDHR5,11.3178,10.1892,10.9023,10.4016,9.4533,9.7357,11.5687,9.9805,10.3846,10.038,9.5132,11.0701,11.3043,9.8367,8.0377,10.1465,10.4567,11.3881,10.0954,10.0947,10.038,11.1473,9.8315,10.1009,9.7082,11.605,10.4737,11.0773,9.7829,11.6067,10.702,11.4713,11.7008,2.8013,11.1238,10.3763,10.1397,11.5532,11.6176,11.1674,11.3856,9.6594,10.2577,9.5455,10.759,9.502,10.9862,10.0665,10.5087,10.5989,6.4227,11.113,11.019,8.5812,9.2778,10.0106,9.9053,11.2914,10.6155,9.2051,10.2988,11.0032,11.1931,10.5818,10.9726,10.1134,10.5836,10.2578,10.6118,11.437,11.043,10.4825,9.8413,11.1544,10.9979,10.0398,10.4335,10.985,10.7117,12.1103,10.5649,8.2552,10.9444,10.8233,9.0662,11.1099
CDKN2B,8.4382,7.883,8.3489,7.3621,5.811,7.578,8.6451,7.4729,7.7547,7.8767,6.8166,8.7645,8.5004,7.7998,5.9103,7.4158,8.0101,8.965,8.3747,7.6893,7.495,8.2659,8.7976,7.8458,7.1634,8.5152,7.5834,8.5467,7.6644,7.9593,8.7251,8.8059,8.9425,3.4417,8.0158,8.2224,8.0239,8.4679,8.6949,8.547,8.8726,7.86,7.1761,6.868,8.5358,6.3413,8.4528,6.7162,7.393,8.3127,4.8205,8.3692,8.7504,4.7969,8.6041,8.0484,6.3783,8.7957,8.3711,6.9147,7.2707,8.0537,7.9296,8.3334,8.699,8.0267,8.9021,7.0083,8.8022,9.4807,8.6655,7.1314,7.3342,8.5416,8.7663,7.3248,7.1167,8.4462,8.2458,8.0508,8.8585,5.4728,8.0306,8.7046,6.8945,8.4409
CHDH,7.7243,7.1022,7.6366,6.5272,4.4759,7.5442,8.8715,6.2193,6.783,7.1221,7.0925,6.6437,8.1907,7.3003,6.2191,6.4487,7.4889,8.6026,7.1694,6.9223,6.4641,7.5082,4.9981,6.7166,6.6937,7.986,7.9944,8.1229,6.5462,7.0374,8.4039,7.9124,8.365,3.2609,7.8319,6.9066,7.2882,7.7724,7.282,8.3854,7.5425,7.3351,7.5101,5.3679,8.064,7.3574,7.8315,7.6851,7.5128,7.6198,3.3867,8.222,7.9608,5.439,6.6534,7.0042,5.1409,7.991,7.6829,7.138,7.1298,7.5476,6.671,7.0301,8.256,7.5471,7.8917,6.817,7.8486,8.5879,7.7947,7.388,6.6441,7.5213,8.2826,6.6706,6.2322,7.7894,7.9058,7.7101,7.3594,5.8403,7.3738,8.2841,5.8114,7.8715
CLPTM1L,5.0245,5.8295,5.9268,5.4139,6.0355,5.1442,6.4141,6.0013,6.595,5.6212,6.0133,5.8393,5.4656,5.6672,5.3089,5.5226,5.8702,5.3919,5.6027,6.4321,5.5677,5.7413,5.0961,5.9298,5.7614,6.0812,4.9965,5.8478,5.6661,6.5159,4.6138,5.6084,6.0807,6.4914,5.238,4.5516,5.7242,6.6418,5.8753,5.889,5.2753,5.6326,5.4639,6.4858,5.4975,6.3823,6.2101,5.7398,5.9468,6.6461,6.4179,6.1862,6.2472,5.2692,6.2329,5.6848,6.3236,6.0789,6.3067,6.429,5.9573,6.2942,5.6231,5.0444,5.5433,5.6551,5.4301,5.5356,4.9529,6.1311,5.9963,5.4454,5.269,5.2555,5.6971,5.8059,6.3165,6.0104,5.9664,5.4681,4.6825,5.7688,5.6445,5.7942,5.1693,6.0151
CNDP2,6.9049,6.5785,7.2571,5.3862,6.0225,5.9278,6.4355,6.172,5.7735,6.162,5.5954,6.8264,6.3559,6.1441,6.0254,6.1128,6.0626,6.3458,5.0466,5.9492,6.4516,5.9667,6.1735,6.263,6.113,6.1291,6.129,5.6018,5.9605,6.1832,6.36,6.162,6.9111,6.1862,5.8289,7.193,6.0077,6.8494,6.6276,6.3104,7.4768,5.7013,5.8381,5.782,6.2911,6.1548,6.1015,6.0332,6.1467,5.3787,5.337,5.1385,6.915,5.8623,5.5704,5.9211,6.4225,6.4873,6.4951,5.8594,5.7693,5.7154,5.9074,6.038,6.1876,5.5206,5.3048,5.7898,5.7204,6.0797,6.8399,6.176,6.5634,5.574,5.9114,5.8471,6.2666,6.3772,5.6994,6.7453,5.2734,6.2426,6.2714,5.3805,6.1928,5.7573
COL17A1,7.9544,7.3632,7.6516,7.5403,6.9959,6.7938,8.6535,7.2513,8.1931,7.86,8.3301,7.6254,7.7299,7.7888,7.9062,7.8968,6.9403,7.8886,7.482,7.9463,8.8805,8.17,7.8008,8.2703,7.7205,8.315,7.2254,7.3967,7.6977,8.2349,8.329,7.3778,7.9624,4.2327,7.7428,7.5384,6.9014,8.5925,8.0774,8.2253,8.4961,8.4279,7.8679,7.2804,6.8041,7.8805,7.4873,6.7604,7.9026,6.8557,4.8707,7.8363,7.7335,6.6818,7.356,8.2706,6.9582,8.0935,6.8778,7.0463,6.0004,6.7152,8.3773,7.3268,7.6771,8.4331,8.4328,7.7617,6.5825,8.6447,7.6597,7.2864,7.9727,8.517,7.8411,7.8387,7.7849,8.1262,8.3125,8.3075,8.3209,7.3377,8.1208,7.4753,6.926,7.586
CPO,9.2535,8.909,9.7238,7.8843,4.9196,6.042,9.9157,7.9591,4.5811,4.4877,5.6218,9.2262,9.2311,5.2781,3.7395,8.4365,9.366,10.2878,4.6133,8.8029,4.7393,9.4237,4.8621,7.7834,3.7584,9.6356,8.4475,9.3523,8.428,10.2371,10.0585,10.3155,9.5557,4.7351,9.0469,9.2915,8.6265,9.9664,9.9486,9.4259,9.4702,3.6474,8.8698,3.7586,9.5349,4.2252,9.305,7.8414,9.3719,8.7245,3.7256,9.6755,8.9668,4.1753,7.2243,4.0366,7.0256,9.0706,9.7088,3.7359,8.9011,8.5382,7.1792,9.5466,9.8401,9.3578,4.2975,7.2556,9.2302,9.9992,9.6125,8.1935,6.1853,9.439,9.84,6.8322,8.2579,9.4592,4.4727,9.4269,6.8743,3.4955,9.2773,9.5234,4.34,9.9386
CREB3L3,9.3541,8.3808,8.9031,7.9607,6.4207,7.4301,8.925,7.865,4.7942,6.1544,7.5018,9.0469,8.9614,6.3414,4.8568,8.3894,7.382,8.4939,4.662,7.2426,7.711,8.3176,4.9483,8.2075,6.3928,9.0938,7.4221,8.9139,7.9873,9.1853,9.0109,9.1659,9.0155,3.8263,8.8222,7.0162,6.4764,8.743,8.9991,8.3752,9.0906,4.0569,7.8092,5.4165,7.8874,5.6581,8.3654,7.4615,9.0891,7.591,4.3546,9.1383,8.527,3.5675,7.7122,6.0943,7.4147,8.574,8.4344,4.1105,6.7706,8.9898,8.5078,8.4921,8.6638,8.3691,6.8589,6.9171,7.854,9.1727,8.6842,7.9452,6.8368,8.0899,9.109,7.4705,7.5691,8.2384,6.5247,9.7406,7.3545,6.1121,7.6704,8.1928,4.2097,9.0341
CUBN,6.3894,4.8552,5.4267,4.2502,3.8379,4.3462,7.0134,3.6159,3.9446,4.2489,3.239,4.7431,6.7383,3.7954,4.2456,4.7283,5.0623,7.269,3.6064,4.3051,3.4073,5.8693,4.8261,3.4629,3.9201,6.9899,4.2117,5.0626,4.4849,8.0886,7.4179,7.4972,7.5593,3.3965,6.6259,4.1944,4.1035,7.2835,6.647,6.0567,7.1176,4.0942,3.2687,3.7175,6.3592,3.698,6.7551,5.1561,5.7062,4.4523,3.6784,7.0872,6.0466,4.1113,3.8708,3.8565,3.8873,5.9288,5.9691,3.4806,4.1267,5.3485,3.6708,5.9601,5.5481,4.3132,3.4632,4.1746,6.112,7.2721,7.1285,4.6835,3.8137,4.5162,6.8543,3.4538,3.8519,6.6713,3.4001,7.6312,4.2675,3.4686,6.5253,7.3015,3.4329,7.3022
CYBRD1,9.3309,9.0211,9.3037,9.331,8.0177,8.2932,9.9504,8.4179,5.2641,7.737,8.505,9.9399,9.405,8.8303,6.016,8.6173,8.9746,9.2319,5.7573,8.997,8.882,9.8632,7.1068,8.9716,6.8381,9.459,9.001,9.1315,9.0194,9.3859,9.4519,9.8597,9.5517,6.2132,9.1628,8.955,8.8114,9.5913,9.5687,9.6623,9.4446,6.7728,9.3216,5.2499,9.5185,6.7466,9.3177,8.4791,9.2634,8.6387,6.7737,9.4418,9.2886,6.1012,8.8623,7.5889,7.8316,9.2415,9.2979,6.8952,8.2306,8.9313,8.9894,9.6001,9.3475,9.3044,4.9764,8.9041,9.1522,9.644,9.8375,8.2279,8.4562,8.584,9.4813,8.398,9.0999,9.6214,8.3044,9.5252,8.6841,5.9462,9.2772,9.2645,6.6033,9.4085
